Company Name,Title,Location,Stipend,Work From Home
Crossing Hurdles,Video Making/Editing,Mumbai,"₹ 20,000-30,000 /month",No
Breath Beings Private Limited,Illustration Art,Mumbai,"₹ 5,000 /month",No
Unifynd Technologies,Business Development,Bangalore,"₹ 20,000 /month",No
Unimonks,Journalism,Bangalore,"₹ 6,500-12,000 /month",No
Pereyan LLP,Videography,Mumbai,"₹ 12,000-15,000 /month",No
FRND,Campus Ambassador,Mumbai,Performance Based,No
Stocktutor,Social Media Management,Delhi,"₹ 5,000 /month",No
Kaholas,Sculpting,Bangalore,"₹ 5,000-6,000 /month",No
ReadyAssist,Sales Data,Work From Home,"₹ 15,000 /month",Yes
Pereyan LLP,Production Management (Wooden Toys & Papers),Gurgaon,"₹ 15,000 /month",No
Improvians,CAD Design Engineering,Delhi,"₹ 8,000-12,000 /month",No
Gloval International,Management (Work From Office),Bangalore,"₹ 8,000-12,000 /month",No
UFaber Edutech,Human Resources (HR),Bangalore,"₹ 10,000-12,000 /month",No
7 Dots Smart Solutions Private Limited,Digital Marketing,Mumbai,"₹ 10,000-15,000 /month",No
Upwards & Emerging Private Limited,Marketing,Mumbai,"₹ 10,000 /month",No
MastersBuddy,Campus Ambassador,Mumbai,Performance Based,No
Rizzle,Content Writing,Hyderabad,"₹ 10,000-15,000 /month",No
Pereyan LLP,Visual Design,Delhi,"₹ 5,000-15,000 /month",No
OpeninApp,Influencer Marketing,Work From Home,"₹ 15,000-25,000 /month",Yes
Sports For All,Human Resources (HR),Hyderabad,"₹ 10,000 /month",No
Pereyan LLP,E-commerce Reel Production,Bangalore,"₹ 10,000-15,000 /month",No
Pereyan LLP,Product Media Manager,Bangalore,"₹ 10,000-15,000 /month",No
Matter Gifts,Business Development (Sales),Mumbai,"₹ 10,000 /month +  Incentives",No
Pereyan LLP,Production Design Engineering,Bangalore,"₹ 5,000-15,000 /month",No
Tring,Human Resources (HR),Bangalore,"₹ 11,000 /month",No
Pereyan LLP,Social Media Reel Creation,Bangalore,"₹ 8,000-15,000 /month",No
Pereyan LLP,Digital Marketing,Bangalore,"₹ 10,000-15,000 /month",No
Pereyan LLP,Search Engine Optimization (SEO),Mumbai,"₹ 8,000-15,000 /month",No
Unimonks,Subject Matter Expert (History),Bangalore,"₹ 8,000-14,000 /month",No
Pereyan LLP,Social Media Content Creation,Bangalore,"₹ 5,000-15,000 /month",No
Radon Media,Digital Marketing,Bangalore,"₹ 7,000 /month",No
Red Art Works,Digital Marketing,Delhi,"₹ 5,000-10,000 /month",No
DataBaat Technologies Private Limited,Marketing (MBA),Bangalore,"₹ 15,000-20,000 /month",No
Unimonks,Newspaper/Magazine Design,Pune,"₹ 6,000-10,000 /month",No
Pereyan LLP,Reels Making,Jaipur,"₹ 5,000-10,000 /month",No
TekHook,Human Resources (HR),Pune,"₹ 10,000 /month",No
Pereyan LLP,Product Photography,Delhi,"₹ 12,000-15,000 /month",No
Booch Beverages Private Limited,Business Development Cum Social Media Management,Bangalore,"₹ 5,000-10,000 /month",No
